id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37010740,Rental unit in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,173067257,Said,,Amandus - Atheneum,51.22499,4.41666,Entire home/apt,70,2,34,2023-10-09,0.63,1,0,7,
37029085,Home in Antwerpen · 1 bedroom · 1 bed · 1 private bath,4578295,Koen,,Valaar,51.17175,4.37741,Private room,,2,0,,,1,0,0,
37055636,Rental unit in Antwerpen · ★4.76 · 1 bedroom · 1 bed · 1 bath,43247005,Rebecca,,Historisch Centrum,51.22013,4.39959,Entire home/apt,144,1,42,2023-12-11,0.78,14,354,9,
37090123,Rental unit in Antwerpen · ★4.17 · 2 bedrooms · 7 beds · 1.5 baths,165436938,Ella,,Theaterbuurt-Meir,51.2135,4.40867,Entire home/apt,70,1,174,2023-12-05,3.23,134,148,35,
37090780,Townhouse in Antwerpen · 1 bedroom · 3 beds · 1 bath,278983959,Omer,,Brederode,51.20327,4.39234,Entire home/apt,,1,0,,,1,0,0,
37104895,Rental unit in Antwerpen · ★4.39 · 2 bedrooms · 4 beds · 1.5 baths,165436938,Ella,,Historisch Centrum,51.22097,4.40121,Entire home/apt,71,1,148,2023-10-23,2.87,134,286,50,
37148200,Rental unit in Antwerpen · ★4.56 · 1 bedroom · 1 bed · 1 bath,174184833,Bram,,Centraal Station,51.21742,4.42794,Entire home/apt,58,2,77,2023-12-20,1.86,1,326,29,
37150608,Rental unit in Antwerpen · ★4.78 · Studio · 1 bed · 1 bath,279448956,Gaetane,,Middelheim,51.18508,4.39218,Entire home/apt,71,1,88,2023-11-22,1.72,1,95,16,
37200727,Serviced apartment in Antwerpen · ★4.55 · Studio · 1 bed · 1 bath,270964935,Liselore,,Theaterbuurt-Meir,51.21346,4.40891,Entire home/apt,171,1,20,2023-05-08,0.39,17,354,5,
37277303,Condo in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,248149473,Linda,,Historisch Centrum,51.2185,4.39925,Entire home/apt,111,1,24,2023-11-19,0.45,5,276,3,
37363210,Rental unit in Antwerpen · 3 bedrooms · 3 beds · 4 baths,14336753,Bert,,Brederode,51.20048,4.39024,Entire home/apt,,1,0,,,5,0,0,
37475845,Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,108458311,Tinneke,,Linkeroever,51.22665,4.3875,Private room,70,2,84,2023-12-18,1.58,1,118,29,
37529748,Rental unit in Antwerpen · ★4.18 · 3 bedrooms · 8 beds · 1 bath,165436938,Ella,,Historisch Centrum,51.22398,4.40137,Entire home/apt,71,1,165,2023-12-10,3.09,134,0,31,
37730967,Townhouse in Antwerpen · ★4.89 · 2 bedrooms · 2 beds · 1 private bath,4819472,Loes,,Markgrave,51.19929,4.39839,Private room,,2,9,2022-12-18,0.18,1,0,0,
37735334,Rental unit in Antwerpen · ★4.73 · 1 bedroom · 2 beds · 1 bath,285249117,Erik,,Markgrave,51.19748,4.40375,Entire home/apt,92,2,11,2023-12-03,0.30,1,47,7,
37774325,Bed and breakfast in Antwerpen · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,9342946,Tine,,Zurenborg,51.20707,4.42793,Private room,55,2,103,2023-11-25,1.94,1,351,30,
37792685,Rental unit in Antwerpen · ★4.95 · 1 bedroom · 1 bed · 1 bath,81237925,Ann,,Haringrode,51.201,4.42156,Entire home/apt,106,2,144,2023-12-17,2.97,1,162,53,
37857932,Rental unit in Antwerpen · ★4.88 · Studio · 1 bed · 1 bath,5149824,Snezhana,,Groenenhoek,51.19605,4.43848,Entire home/apt,86,2,52,2023-10-21,0.99,1,83,11,
37890065,Townhouse in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,149531704,Veerle,,Borgerhout Extra Muros,51.20841,4.45254,Private room,47,2,13,2023-12-02,0.60,1,76,6,
37930611,Rental unit in Antwerpen · ★4.81 · 1 bedroom · 2 beds · 1.5 baths,182678477,Sleep Inn,,Theaterbuurt-Meir,51.21295,4.40994,Entire home/apt,183,1,69,2023-12-10,1.30,37,354,11,
37941621,Rental unit in Antwerpen · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,43721100,Hannelore,,Centraal Station,51.21273,4.41675,Entire home/apt,85,2,11,2021-10-07,0.21,1,13,0,
37955411,Rental unit in Antwerpen · 2 bedrooms · 2 beds · 1 bath,120423516,Karin,,Theaterbuurt-Meir,51.2136503,4.4104242,Entire home/apt,,10,2,2023-04-30,0.22,1,0,2,
38126665,Place to stay in Antwerpen · ★4.63 · 1 bedroom · 2 beds · 1 private bath,15780894,Simon,,Universiteitsbuurt,51.22326,4.40694,Private room,60,1,267,2023-12-13,5.09,10,21,70,
38149971,Loft in Antwerpen · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,289860799,Gina,,Historisch Centrum,51.22269,4.40241,Entire home/apt,70,2,14,2020-03-09,0.27,1,0,0,
38202647,Rental unit in Antwerpen · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,6028836,Eva,,Borgerhout Extra Muros,51.20145,4.4479,Entire home/apt,,5,5,2022-04-15,0.10,1,0,0,
38208194,Rental unit in Antwerpen · ★4.94 · 1 bedroom · 1 bed · 1 bath,290326691,Charlotte,,Historisch Centrum,51.22482,4.40161,Entire home/apt,96,1,200,2023-12-10,3.92,5,0,67,
38213256,Townhouse in Antwerpen · 3 bedrooms · 4 beds · 2 baths,13267012,Rob,,Haringrode,51.20329,4.42738,Entire home/apt,307,2,0,,,1,358,0,
38255134,Rental unit in Antwerpen · ★4.81 · 2 bedrooms · 4 beds · 1 private bath,249017821,Lucie,,Harmonie,51.20007,4.40722,Private room,200,1,56,2023-12-10,1.07,1,0,30,
38271062,Rental unit in Antwerpen · ★4.92 · 3 bedrooms · 4 beds · 2.5 baths,267848896,Dietrich,,Brederode,51.20621,4.39812,Entire home/apt,317,2,48,2023-12-26,0.99,2,169,21,
38281107,Hotel in Antwerp · ★4.80 · 1 bedroom · 1 bed · 1 bath,44330774,Sharon,,Brederode,51.206416,4.396063,Private room,184,1,5,2022-05-01,0.14,6,344,0,
38281297,Hotel in Antwerpen · ★4.56 · 1 bedroom · 1 bed · 1 bath,44330774,Sharon,,Brederode,51.206416,4.396063,Private room,154,1,18,2023-10-23,0.49,6,341,3,
38281578,Aparthotel in Antwerpen · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,44330774,Sharon,,Brederode,51.206416,4.396063,Hotel room,164,1,11,2023-02-12,0.30,6,343,1,
38281744,Hotel in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,44330774,Sharon,,Brederode,51.206416,4.396063,Private room,154,1,4,2022-07-11,0.12,6,348,0,
38282034,Hotel in Antwerpen · ★4.30 · 1 bedroom · 1 bed · 1 bath,44330774,Sharon,,Brederode,51.206417,4.396063,Private room,153,1,10,2023-06-04,0.42,6,345,2,
38352422,Rental unit in Antwerpen · ★4.87 · 2 bedrooms · 3 beds · 1.5 baths,43247005,Rebecca,,Theaterbuurt-Meir,51.21854,4.40889,Entire home/apt,179,1,61,2023-11-26,1.17,14,0,9,
38420633,Rental unit in Antwerpen · ★4.80 · 1 bedroom · 1 bed · 1 bath,9352812,Sven,,Amandus - Atheneum,51.22424,4.42011,Entire home/apt,,1,5,2020-07-18,0.10,1,0,0,
38450619,Condo in Antwerpen · ★4.57 · 1 bedroom · 3 beds · 1 bath,293115607,Petra,,Theaterbuurt-Meir,51.21209,4.40134,Entire home/apt,116,2,97,2023-12-18,4.44,2,332,45,
38451450,Condo in Antwerpen · 2 bedrooms · 2 beds · 1.5 baths,62639610,Elektra,,Nieuw - Kwartier West,51.18147,4.43156,Private room,,2,1,2021-08-16,0.03,2,0,0,
38470295,Rental unit in Antwerpen · ★4.44 · 1 bedroom · 1 bed · 1 bath,102711282,Benjamin,,Amandus - Atheneum,51.21812,4.42958,Entire home/apt,64,1,246,2023-12-17,4.74,3,0,60,
38547626,Rental unit in Antwerpen · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,82243088,Joleen,,Amandus - Atheneum,51.21924,4.42596,Entire home/apt,85,2,116,2023-11-12,2.31,1,0,12,
38561071,Home in Antwerpen · 7 bedrooms · 16 beds · 3.5 baths,264440567,Joseph,,Haringrode,51.20713,4.41997,Entire home/apt,249,21,0,,,3,364,0,
38594194,Rental unit in Antwerpen · ★5.0 · Studio · 2 beds · 1 bath,294500036,Foundation,,Oud - Berchem,51.2046,4.43292,Entire home/apt,65,3,4,2022-08-21,0.09,1,178,0,
38719338,Rental unit in Antwerpen · ★4.72 · Studio · 1 bed · 1 bath,267327007,Tom,,Centraal Station,51.21929,4.4181,Entire home/apt,58,2,188,2023-12-25,3.65,1,287,60,
38730321,Rental unit in Antwerpen · Studio · 2 beds · 1 bath,60756836,Ann,,Brederode,51.20213,4.39689,Entire home/apt,58,7,2,2023-10-07,0.26,5,352,2,
38806192,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,5006175,Joachim,,Kiel,51.18206,4.38855,Entire home/apt,90,5,1,2019-11-13,0.02,1,0,0,
38836444,Home in Antwerpen · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,297333293,Maarten,,Oud - Berchem,51.20024,4.42547,Private room,54,1,65,2023-11-13,1.26,1,360,18,
